update,seen_steps,sps,mean_step_reward,episodes_ended,ep_return_ema,ep_len_ema,term_wall,term_obstacle,term_friendly,term_enemy,term_timeout,shots_fired,shots_hit,shots_hit_friendly,shots_missed,shot_hit_rate,friendly_fire_rate,kl,entropy,pg_loss,v_loss,eval_mean,eval_std,eval_len,best_eval
305,312320,19177,0.203743,1,-92.033262,363.745741,0,0,1,0,0,46,4,0,42,0.086957,0.000000,0.001647,3.064794,0.000319,101.715415,,,,89.071708
306,313344,18425,-0.114481,2,-82.813950,356.371167,0,0,0,2,0,48,4,1,43,0.083333,0.020833,0.009763,3.065757,0.000977,307.520779,,,,89.071708
307,314368,17741,-0.648872,4,-74.959859,363.334050,0,1,2,1,0,50,1,2,47,0.020000,0.040000,0.002308,3.075674,-0.001019,613.939623,,,,89.071708
308,315392,17117,-0.187609,3,-92.645387,356.833978,0,1,1,1,0,48,2,0,46,0.041667,0.000000,0.002044,3.069195,-0.002428,175.120395,,,,89.071708
309,316416,16530,-0.396603,2,-90.689229,368.050580,0,0,0,2,0,48,2,2,44,0.041667,0.041667,0.003343,3.074367,0.001253,389.650253,,,,89.071708
310,317440,15987,-0.450054,3,-88.835342,358.478856,0,2,1,0,0,47,2,1,44,0.042553,0.021277,0.000453,3.068524,-0.000060,213.475889,25.090862,235.919199,508.00,89.071708
311,318464,10848,-0.395246,4,-95.709976,355.430970,1,1,0,2,0,49,2,1,46,0.040816,0.020408,0.002527,3.070673,-0.003883,371.216919,,,,89.071708
312,319488,10625,-0.398232,0,-95.709976,355.430970,0,0,0,0,0,45,2,3,40,0.044444,0.066667,0.006005,3.077280,0.000312,535.903097,,,,89.071708
313,320512,10414,-0.147587,2,-100.001679,354.687873,0,1,1,0,0,48,0,0,48,0.000000,0.000000,0.002187,3.067571,0.000019,114.255716,,,,89.071708
314,321536,10211,-0.633759,6,-110.484009,372.285752,0,2,3,0,1,51,2,2,47,0.039216,0.039216,0.001256,3.082555,-0.000175,564.450876,,,,89.071708
315,322560,10017,-0.546717,3,-106.802234,346.957177,0,1,0,2,0,49,1,2,46,0.020408,0.040816,0.001383,3.078011,-0.001151,486.424232,,,,89.071708
316,323584,9822,0.013596,1,-107.441676,346.161460,0,1,0,0,0,47,2,0,45,0.042553,0.000000,0.003120,3.077653,0.000361,75.444204,,,,89.071708
317,324608,9645,-0.047541,2,-105.779808,365.695314,0,1,0,1,0,47,2,0,45,0.042553,0.000000,0.002602,3.085678,-0.000324,86.959871,,,,89.071708
318,325632,9473,0.055615,1,-94.232905,354.925782,1,0,0,0,0,47,4,1,42,0.085106,0.021277,0.002544,3.068297,0.001955,274.788631,,,,89.071708
319,326656,9310,0.136059,2,-81.710248,379.983204,0,0,0,2,0,46,4,0,42,0.086957,0.000000,0.002730,3.078869,-0.001127,137.385029,,,,89.071708
320,327680,9155,0.103643,1,-72.712618,375.884884,0,0,0,1,0,49,3,0,46,0.061224,0.000000,0.004814,3.075076,-0.002300,75.844297,28.980857,139.232542,586.88,89.071708
321,328704,7002,-0.526123,3,-76.838541,396.763062,0,1,1,1,0,46,2,2,42,0.043478,0.043478,0.003264,3.072365,-0.001152,562.269957,,,,89.071708
322,329728,6918,-0.098892,4,-74.119044,401.511756,0,2,0,1,1,50,3,0,47,0.060000,0.000000,0.001208,3.081316,-0.001121,157.146134,,,,89.071708
323,330752,6836,-0.301617,2,-78.932434,415.760580,1,1,0,0,0,47,5,2,40,0.106383,0.042553,0.001197,3.073329,0.001307,553.845812,,,,89.071708
324,331776,6756,-0.148948,2,-73.554280,422.984522,0,0,1,1,0,47,3,1,43,0.063830,0.021277,0.001947,3.073582,0.001056,331.068725,,,,89.071708
325,332800,6680,-0.127664,2,-89.354162,410.486070,0,1,1,0,0,50,5,1,44,0.100000,0.020000,0.006795,3.072595,0.001461,279.239540,,,,89.071708
326,333824,6607,-0.451288,3,-75.487260,399.904130,0,1,0,2,0,49,2,2,45,0.040816,0.040816,0.001123,3.069038,-0.000784,310.384302,,,,89.071708
327,334848,6534,-0.208058,1,-51.633801,427.613717,0,0,0,1,0,47,2,1,44,0.042553,0.021277,0.002094,3.076470,-0.001447,218.552546,,,,89.071708
328,335872,6465,-0.243530,2,-102.166069,440.102345,0,0,2,0,0,46,2,1,43,0.043478,0.021739,0.002172,3.081138,-0.004262,318.192135,,,,89.071708
329,336896,6397,-0.496198,3,-99.106552,415.725444,0,1,0,2,0,50,2,2,46,0.040000,0.040000,0.003901,3.076841,0.000164,459.898129,,,,89.071708
330,337920,6326,-0.294055,4,-98.517066,428.777899,3,0,0,0,1,49,1,0,48,0.020408,0.000000,0.001583,3.083535,-0.001885,151.283837,-33.325197,75.609700,423.38,89.071708
331,338944,5632,0.202239,0,-98.517066,428.777899,0,0,0,0,0,46,4,0,42,0.086957,0.000000,0.001156,3.073945,-0.001222,43.941514,,,,89.071708
332,339968,5584,-0.552776,2,-101.112167,446.200109,0,0,1,0,1,46,0,2,44,0.000000,0.043478,0.002673,3.081923,-0.000231,430.381182,,,,89.071708
333,340992,5536,-0.029842,2,-106.679841,418.330099,0,0,1,1,0,47,4,1,42,0.085106,0.021277,0.001481,3.077725,-0.003191,290.667444,,,,89.071708
334,342016,5489,0.009421,1,-93.326967,476.597089,0,0,0,0,1,48,1,0,47,0.020833,0.000000,0.003518,3.074375,-0.000215,13.536695,,,,89.071708
335,343040,5442,-0.168819,2,-107.544989,482.587380,1,0,0,1,0,48,4,1,43,0.083333,0.020833,0.002911,3.086629,-0.001663,399.814976,,,,89.071708
336,344064,5397,-0.445137,4,-105.012873,499.678642,3,0,0,1,0,46,2,1,43,0.043478,0.021739,0.012201,3.077175,0.004990,392.693827,,,,89.071708
337,345088,5354,0.382449,0,-105.012873,499.678642,0,0,0,0,0,48,5,0,43,0.104167,0.000000,0.001778,3.085589,0.001207,67.398386,,,,89.071708
338,346112,5311,-0.173651,1,-53.677006,549.810778,0,0,0,0,1,48,3,2,43,0.062500,0.041667,0.001292,3.078993,-0.000739,385.364899,,,,89.071708
339,347136,5270,-0.492898,2,-67.736473,541.879700,0,0,1,1,0,45,3,2,40,0.066667,0.044444,0.000650,3.080121,-0.000041,488.660824,,,,89.071708
340,348160,5229,-0.047144,1,-56.945289,542.391730,0,1,0,0,0,48,0,0,48,0.000000,0.000000,0.001477,3.086649,-0.000639,57.898978,-18.640831,145.469068,530.75,89.071708
